DNI_trabajo,d3_dni,Anio_nac
(131=1957),131,1957
(147=1962),147,1962
(163=1963),163,1963
(179=1966),179,1966
(195=1967),195,1967
(211=1969),211,1969
(227=1972),227,1972
(243=1975),243,1975
(259=1977),259,1977
(275=1979),275,1979
(291=1981),291,1981
(307=1984),307,1984
(323=1986),323,1986
(339=1988),339,1988
(353=1990),353,1990
(369=1992),369,1992
(385=1994),385,1994
(401=1997),401,1997
(416=1998),416,1998
(20=1935),20,1935
(36=1937),36,1937
(52=1948),52,1948
(68=1941),68,1941
(84=1951),84,1951
(101=1952),101,1952
(116=1955),116,1955
(132=1959),132,1959
(148=1962),148,1962
(164=1963),164,1963
(180=1966),180,1966
(196=1967),196,1967
(212=1970),212,1970
(228=1972),228,1972
(244=1975),244,1975
(260=1977),260,1977
(276=1979),276,1979
(292=1982),292,1982
(308=1984),308,1984
(324=1986),324,1986
(340=1988),340,1988
(354=1990),354,1990
(370=1992),370,1992
(386=1994),386,1994
(402=1997),402,1997
(417=1999),417,1999
(21=1929),21,1929
(37=1938),37,1938
(53=1946),53,1946
(69=1943),69,1943
(85=1951),85,1951
(102=1952),102,1952
(117=1955),117,1955
(133=1959),133,1959
(149=1962),149,1962
(165=1963),165,1963
(181=1967),181,1967
(197=1967),197,1967
(213=1970),213,1970
(229=1972),229,1972
(245=1975),245,1975
(261=1977),261,1977
(277=1979),277,1979
(293=1982),293,1982
(309=1984),309,1984
(325=1986),325,1986
(341=1988),341,1988
(355=1990),355,1990
(371=1992),371,1992
(387=1995),387,1995
(403=1997),403,1997
(418=1999),418,1999
(22=1935),22,1935
(38=1940),38,1940
(54=1946),54,1946
(70=1942),70,1942
(86=1951),86,1951
(103=1952),103,1952
(118=1955),118,1955
(134=1959),134,1959
(150=1968),150,1968
(166=1964),166,1964
(182=1967),182,1967
(198=1967),198,1967
(214=1970),214,1970
(230=1973),230,1973
(246=1975),246,1975
(262=1977),262,1977
(278=1980),278,1980
(294=1982),294,1982
(310=1984),310,1984
(326=1986),326,1986
(342=1988),342,1988
(356=1990),356,1990
(372=1992),372,1992
(388=1995),388,1995
(404=1997),404,1997
(419=1999),419,1999
(23=1936),23,1936
(39=1940),39,1940
(55=1948),55,1948
(71=1940),71,1940
(87=1947),87,1947
(104=1952),104,1952
(119=1956),119,1956
(135=1959),135,1959
(151=1946),151,1946
(167=1964),167,1964
(183=1967),183,1967
(199=1967),199,1967
(215=1970),215,1970
(231=1973),231,1973
(247=1975),247,1975
(263=1977),263,1977
(279=1980),279,1980
(295=1982),295,1982
(311=1984),311,1984
(327=1987),327,1987
(343=1989),343,1989
(357=1991),357,1991
(373=1993),373,1993
(389=1995),389,1995
(405=1997),405,1997
(420=1999),420,1999
(24=1936),24,1936
(40=1941),40,1941
(56=1947),56,1947
(72=1941),72,1941
(88=1948),88,1948
(105=1952),105,1952
(120=1956),120,1956
(136=1959),136,1959
(152=1946),152,1946
(168=1964),168,1964
(184=1967),184,1967
(200=1968),200,1968
(216=1970),216,1970
(232=1973),232,1973
(248=1975),248,1975
(264=1978),264,1978
(280=1980),280,1980
(296=1982),296,1982
(312=1984),312,1984
(328=1987),328,1987
(25=1931),25,1931
(41=1936),41,1936
(57=1948),57,1948
(73=1949),73,1949
(89=1939),89,1939
(121=1956),121,1956
(137=1960),137,1960
(153=1947),153,1947
(169=1964),169,1964
(185=1967),185,1967
(201=1968),201,1968
(217=1970),217,1970
(233=1973),233,1973
(249=1975),249,1975
(265=1978),265,1978
(281=1980),281,1980
(297=1982),297,1982
(313=1985),313,1985
(329=1987),329,1987
(358=1991),358,1991
(374=1993),374,1993
(390=1995),390,1995
(406=1997),406,1997
(421=1999),421,1999
(359=1991),359,1991
(375=1993),375,1993
(391=1995),391,1995
(407=1997),407,1997
(422=1999),422,1999
(430=2000),430,2000
(438=2001),438,2001
(461=2003),461,2003
(469=2004),469,2004
